tag	rep	length	Time	Algorithm	WGD
no_wgd_legacy	11	100	0.5250327587127686	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	120	0.6068587303161621	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	140	0.6946873664855957	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	160	0.8118770122528076	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	180	0.9017124176025391	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	11	200	1.0244605541229248	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	20	0.10488057136535645	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	40	0.19015192985534668	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	60	0.28840065002441406	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	80	0.39209413528442383	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	100	0.4898104667663574	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	120	0.5930004119873047	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	140	0.7013120651245117	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	160	0.7895166873931885	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	180	0.8760590553283691	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	12	200	0.9852652549743652	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	20	0.10263514518737793	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	40	0.1851646900177002	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	60	0.2875025272369385	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	80	0.38475942611694336	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	100	0.4901883602142334	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	120	0.5808534622192383	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	140	0.683281421661377	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	160	0.788231611251831	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	180	0.8813891410827637	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	13	200	1.0017147064208984	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	20	0.10615110397338867	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	40	0.19054126739501953	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	60	0.28752732276916504	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	80	0.38609981536865234	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	100	0.49556446075439453	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	120	0.5878438949584961	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	140	0.6925928592681885	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	160	0.7969374656677246	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	180	0.8992183208465576	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	14	200	0.994713544845581	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	20	0.1037447452545166	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	40	0.1883080005645752	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	60	0.28807854652404785	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	15	80	0.39042210578918457	"Legacy composition
(Schwarz et al. 2014)"	No WGD
